Name,Description,geometry,lon,lat
MD33,,"c(149.541990366439, -33.8763329091487, 0)",149.5419903664386,-33.8763329091487
MD34,,"c(149.550401217884, -33.8682326574913, 0)",149.5504012178842,-33.86823265749135
MD35,,"c(149.551511367425, -33.8633380333388, 0)",149.5515113674253,-33.86333803333882
MD36,,"c(149.565528340377, -33.8658598853706, 0)",149.5655283403768,-33.86585988537061
MD37,,"c(149.563948518748, -33.8719240701186, 0)",149.5639485187483,-33.87192407011857
MD38,,"c(149.562504926876, -33.8766399637914, 0)",149.5625049268757,-33.87663996379145
MD39,,"c(149.569783969808, -33.8801692735761, 0)",149.5697839698075,-33.88016927357612
MD40,,"c(149.573957267936, -33.868903559719, 0)",149.5739572679364,-33.86890355971901
MD41,,"c(149.58585080637, -33.8617073168736, 0)",149.5858508063695,-33.86170731687356
MD42,,"c(149.588885016633, -33.8693941946867, 0)",149.5888850166334,-33.86939419468673
MD43,,"c(149.594714434662, -33.8815606306339, 0)",149.594714434662,-33.88156063063391
MD44,,"c(149.5803223141, -33.8844439361304, 0)",149.5803223140996,-33.88444393613042
MD45,,"c(149.587996623282, -33.8894648455386, 0)",149.5879966232818,-33.88946484553865
MD46,,"c(149.580791066623, -33.8949283902991, 0)",149.5807910666225,-33.89492839029913
MD47,,"c(149.596484465738, -33.8982670849146, 0)",149.5964844657379,-33.89826708491456
MD48,,"c(149.589201883958, -33.9023248127214, 0)",149.5892018839583,-33.90232481272135
V1,,"c(149.651483512029, -34.0083080170871, 0)",149.6514835120292,-34.00830801708707
V2,,"c(149.656279378214, -34.0143623601586, 0)",149.6562793782143,-34.01436236015857
V3,,"c(149.667439710654, -34.007476842442, 0)",149.6674397106537,-34.00747684244195
V4,,"c(149.668927209141, -34.0025096510536, 0)",149.6689272091409,-34.00250965105361
V5,,"c(149.675249752051, -33.9954781684049, 0)",149.6752497520511,-33.99547816840485
V6,,"c(149.672273028299, -33.9911482642166, 0)",149.6722730282993,-33.99114826421665
V7,,"c(149.680868501162, -34.012465581896, 0)",149.6808685011618,-34.01246558189598
V8,,"c(149.684082877118, -34.0071768067366, 0)",149.684082877118,-34.00717680673664
V9,,"c(149.68696460165, -34.0015819027708, 0)",149.6869646016502,-34.0015819027708
V10,,"c(149.691201403591, -33.9906942822396, 0)",149.6912014035912,-33.9906942822396
V11,,"c(149.701063418438, -34.0032787964153, 0)",149.701063418438,-34.00327879641534
V12,,"c(149.702631097396, -33.9986824763964, 0)",149.7026310973955,-33.99868247639638
V13,,"c(149.705381754628, -33.992176923306, 0)",149.7053817546285,-33.99217692330604
V14,,"c(149.705389279567, -33.9876237138353, 0)",149.7053892795666,-33.98762371383535
V15,,"c(149.703404827959, -33.9810047958681, 0)",149.7034048279594,-33.98100479586812
V16,,"c(149.712433567749, -33.9834896337592, 0)",149.712433567749,-33.98348963375922
V17,,"c(149.714319424769, -33.9751231664999, 0)",149.7143194247694,-33.97512316649988
V18,,"c(149.703369486673, -33.9735704732027, 0)",149.703369486673,-33.97357047320269
V19,,"c(149.717582616377, -33.9705873832376, 0)",149.7175826163769,-33.97058738323761
V20,,"c(149.713275983113, -33.9647006330192, 0)",149.713275983113,-33.96470063301918
V21,,"c(149.724310070266, -33.9658419860146, 0)",149.7243100702658,-33.96584198601458
V22,,"c(149.731444472386, -33.9781506637015, 0)",149.7314444723855,-33.97815066370153
V23,,"c(149.735438532417, -33.9733373119372, 0)",149.7354385324174,-33.97333731193717
V24,,"c(149.741299170915, -33.9655891684803, 0)",149.7412991709151,-33.96558916848026
V25,,"c(149.74159466737, -33.9600749835513, 0)",149.74159466737,-33.96007498355132
V26,,"c(149.733565569267, -33.9535522657887, 0)",149.733565569267,-33.95355226578871
V27,,"c(149.724784284042, -33.9574914625282, 0)",149.7247842840417,-33.95749146252822
V28,,"c(149.76996585258, -33.9346442397737, 0)",149.7699658525801,-33.93464423977367
V29,,"c(149.770255607401, -33.9298275675501, 0)",149.7702556074007,-33.92982756755015
V30,,"c(149.771257064791, -33.925103648245, 0)",149.771257064791,-33.92510364824498
